seed,finish_time_s,success,mass_kg,cda_m2,crr,thrust_f0_n,launch_loss_ratio,yaw_deg
2026,0.626500,1,0.052901,0.00151996,0.010881,18.6153,0.04866,0.23603
2043,0.582400,1,0.050566,0.00146327,0.013489,17.9459,0.04756,-0.46776
2060,0.597800,1,0.050247,0.00137516,0.015147,18.0131,0.04295,-1.50499
2077,0.665700,1,0.050764,0.00160192,0.019183,16.7122,0.03878,-1.17839
2094,0.577500,1,0.052163,0.00145458,0.024447,19.2692,0.05851,0.31976
2111,0.566300,1,0.051423,0.00151900,0.013199,18.3657,0.06081,0.36090
2128,0.594300,1,0.052767,0.00150790,0.018532,19.0712,0.05217,0.65612
2145,0.638400,1,0.050841,0.00154448,0.012260,18.5139,0.10224,0.27226
2162,0.562800,1,0.050683,0.00141270,0.016246,19.8432,0.07907,-1.33157
2179,0.628600,1,0.050743,0.00160673,0.014770,19.6855,0.04236,-0.73267
2196,0.609700,1,0.052782,0.00150106,0.016214,19.3771,0.04289,1.34472
2213,0.589400,1,0.051601,0.00155175,0.019782,17.4302,0.05916,-0.01518
2230,0.545300,1,0.052496,0.00152160,0.025082,21.0946,0.05127,-0.60594
2247,0.625100,1,0.051891,0.00144263,0.015920,17.4809,0.06650,-0.00035
2264,0.611100,1,0.053640,0.00144938,0.013643,17.3305,0.05645,-0.29126
2281,0.599200,1,0.051297,0.00157922,0.021757,18.0397,0.06317,0.76659
2298,0.606200,1,0.051332,0.00140660,0.018829,17.1320,0.07102,1.14414
2315,0.604800,1,0.052818,0.00144690,0.021370,19.0989,0.04949,0.06851
2332,0.617400,1,0.052932,0.00158734,0.009856,19.0318,0.05732,-0.46690
2349,0.594300,1,0.051343,0.00138921,0.014229,17.7761,0.05787,0.08077
2366,0.581000,1,0.052771,0.00138570,0.018603,19.3034,0.07666,-0.21801
2383,0.591500,1,0.051465,0.00147614,0.013844,20.1322,0.08429,1.10223
2400,0.618100,1,0.053120,0.00148994,0.024612,17.4959,0.05277,-1.53953
2417,0.585200,1,0.051135,0.00144901,0.012253,18.8095,0.08631,-1.88130
2434,0.665000,1,0.050337,0.00156759,0.020742,15.8367,0.05068,0.51937
2451,0.595000,1,0.052080,0.00160115,0.013840,19.5114,0.06462,-0.08397
2468,0.582400,1,0.051793,0.00154732,0.017445,18.8631,0.04801,0.54850
2485,0.595000,1,0.053772,0.00145069,0.016779,18.6939,0.05553,-0.30313
2502,0.648200,1,0.052900,0.00154527,0.018497,16.9386,0.06374,1.58027
2519,0.710500,1,0.052175,0.00143855,0.026510,15.8795,0.08826,0.53199
2536,0.578900,1,0.050065,0.00153852,0.022126,19.2334,0.05454,-1.03078
2553,0.595000,1,0.051857,0.00138817,0.017117,18.8630,0.08596,-1.87310
2570,0.606200,1,0.051873,0.00143560,0.016097,17.6160,0.07602,-0.86712
2587,0.620200,1,0.051993,0.00150267,0.015554,18.1518,0.06771,0.99563
