factor,spearman_abs,spearman_signed
thrust_tau_s,0.6581949253337762,-0.6581949253337762
thrust_f0_n,0.6469408218534979,-0.6469408218534979
mass_kg,0.18479241828228066,0.18479241828228066
launch_loss_ratio,0.1543345572947644,0.1543345572947644
cda_m2,0.07935874657763382,0.07935874657763382
wheel_inertia_kgm2,0.07236309299247223,0.07236309299247223
wheel_radius_m,0.022661468852419816,-0.022661468852419816
yaw_deg,0.01237878553917429,-0.01237878553917429
surface_roughness_gain,0.0027769384181605015,0.0027769384181605015
crr,0.0003513211686890108,-0.0003513211686890108
