nose_radius_ratio,sidepod_taper,wing_attack_deg,wheel_shroud_ratio,splitline_robustness,drag_obj,stability_obj,manufacturing_obj
0.094151,0.999901,-0.933156,0.999169,0.993702,0.208024,0.137131,0.123487
0.100002,0.999709,0.501907,0.999972,0.976930,0.208466,0.120035,0.125320
0.097594,0.996222,-0.021703,0.999549,0.941912,0.208301,0.126558,0.128963
0.096303,0.619905,0.556022,0.820365,0.999991,0.221672,0.144914,0.100007
0.098994,0.619888,-2.473226,0.999558,0.999933,0.218344,0.169224,0.100014
0.099910,0.619899,0.616700,0.999798,0.999991,0.218947,0.140219,0.100007
0.094009,0.999901,-0.192412,0.999170,0.964006,0.208121,0.129791,0.126753
0.096313,0.619462,-1.957295,0.999796,0.999991,0.218106,0.165355,0.100033
0.099848,0.620170,-2.471484,0.999291,0.999900,0.218354,0.168793,0.100021
0.094009,0.999390,-0.697860,0.999064,0.976953,0.208043,0.134873,0.125299
0.100066,0.999915,0.481673,0.999944,0.993680,0.208444,0.120220,0.123490
0.093089,0.691156,-1.556811,0.999801,0.999983,0.216165,0.159297,0.104271
0.100142,0.842387,-1.415033,0.999726,0.999891,0.212250,0.147104,0.113355
0.087985,0.632116,-1.412706,0.999849,0.999073,0.217767,0.163231,0.100829
0.099844,0.723429,-1.604148,0.999291,0.999908,0.215381,0.154958,0.106216
0.100001,0.878754,0.307658,0.999842,0.999433,0.211641,0.127989,0.115588
0.099942,0.652810,-1.303007,0.998780,0.999156,0.217197,0.155442,0.102061
0.091811,0.782478,-1.096802,0.998863,0.999017,0.213772,0.150757,0.109857
0.099924,0.999901,0.501907,0.999949,0.976930,0.208459,0.120061,0.125332
0.098388,0.795689,-0.539517,0.996947,0.999320,0.213531,0.141437,0.110616
0.087907,0.643934,-1.632233,0.999600,0.999476,0.217489,0.164878,0.101494
0.099909,0.683549,-0.496478,0.997753,0.999983,0.216541,0.145876,0.103815
0.093613,0.693884,-1.747892,0.999805,0.999991,0.216131,0.160823,0.104434
0.095914,0.834633,-0.594740,0.999841,0.999875,0.212414,0.141160,0.112892
0.098159,0.972794,0.485990,0.999938,0.999999,0.209159,0.122376,0.121168
0.098082,0.956763,0.391938,0.999353,0.999998,0.209548,0.124167,0.120206
0.099996,0.888396,-1.096203,0.999977,0.999930,0.210998,0.141544,0.116112
0.095349,0.660423,-1.391697,0.998798,0.999888,0.216957,0.158129,0.102438
0.100154,0.711801,0.291550,0.999917,0.999971,0.216173,0.136569,0.105511
0.100332,0.619450,-1.966358,0.999796,0.999994,0.218157,0.163853,0.100034
0.101148,0.855091,0.595489,0.999954,0.999963,0.212506,0.128746,0.114110
0.100139,0.948854,0.558382,0.999432,0.999971,0.209900,0.123219,0.119734
0.088489,0.643934,-1.375013,0.999844,0.999108,0.217446,0.162024,0.101534
0.101208,0.943132,0.732035,0.999955,0.999999,0.210197,0.125739,0.119388
0.100286,0.878779,-0.674232,0.999804,0.999961,0.211276,0.137943,0.115531
0.091028,0.666196,-1.440048,0.999218,0.999942,0.216831,0.160368,0.102778
0.099617,0.752146,-0.152499,0.999499,0.999941,0.214814,0.139109,0.107935
0.100278,0.983830,0.471011,0.999947,0.999167,0.208880,0.121231,0.121921
0.088062,0.628428,-1.416552,0.999512,0.999063,0.217867,0.163425,0.100609
0.096145,0.950956,0.445842,0.989464,0.999994,0.209900,0.125035,0.119858
0.099002,0.792214,0.180574,0.999982,0.999854,0.213895,0.134058,0.110349
0.098159,0.761508,-1.078677,0.999501,0.999982,0.214313,0.148596,0.108492
0.096310,0.746075,-1.070826,0.999520,0.999939,0.214703,0.150167,0.107571
0.089643,0.637281,-1.358748,0.998963,0.999095,0.217608,0.161664,0.101136
0.099255,0.773566,-0.753877,0.999534,0.999892,0.214041,0.144223,0.109226
0.096333,0.750488,-1.073119,0.999520,0.999957,0.214587,0.149958,0.107834
0.098351,0.813434,-0.814532,0.999913,0.999935,0.212958,0.143259,0.111613
0.098109,0.965645,0.461419,0.999944,0.999999,0.209338,0.123003,0.120739
0.100302,0.699618,-1.379073,0.999800,0.999988,0.215968,0.153957,0.104778
0.096145,0.901903,0.445842,0.999899,0.999986,0.211054,0.127279,0.116916
0.100001,0.871244,-0.815624,0.999767,0.999458,0.211456,0.139599,0.115134
0.100155,0.859523,-1.045398,0.999990,0.999587,0.211757,0.142552,0.114417
0.094824,0.684024,-1.064151,0.998933,0.999177,0.216341,0.153920,0.103932
0.099341,0.766518,-0.756468,0.999519,0.999891,0.214229,0.144561,0.108803
0.099264,0.894016,-0.752622,0.999855,0.999900,0.210844,0.138178,0.116452
0.096200,0.963824,0.386557,0.999517,0.999997,0.209335,0.124758,0.120630
0.096890,0.669121,-0.876203,0.999282,0.999853,0.216760,0.151797,0.102963
0.099803,0.871536,0.477734,0.999839,0.999869,0.211946,0.126743,0.115107
0.105856,0.926448,-1.121900,0.999828,0.999987,0.210171,0.142682,0.118388
0.099711,0.675917,-1.373969,0.999489,0.999957,0.216581,0.155091,0.103360
0.099878,0.637258,-0.803443,0.999461,0.998220,0.217651,0.151240,0.101231
0.096220,0.741178,-1.660856,0.999286,0.999912,0.214894,0.156360,0.107280
0.094181,0.716860,-0.186249,0.999584,0.999936,0.215708,0.143792,0.105819
0.100028,0.740181,0.501585,0.999785,0.999908,0.215558,0.133024,0.107221
0.098159,0.660695,-0.087744,0.999191,0.991864,0.217295,0.143733,0.103337
0.095930,0.912281,-0.399077,0.999066,0.999093,0.210402,0.135329,0.117637
0.100139,0.708819,-0.943494,0.999430,0.999938,0.215740,0.149072,0.105336
0.099893,0.730498,0.584139,0.999860,0.999991,0.215887,0.134370,0.106631
0.099973,0.969338,0.445842,0.999950,0.999998,0.209255,0.122089,0.120960
0.100003,0.759559,-1.063068,0.999515,0.999982,0.214391,0.147664,0.108376
