term,effect_s,abs_effect_s,ci95_low_s,ci95_high_s
wheel_diameter_mm,-0.016518706308466413,0.016518706308466413,-0.023458056106453674,-0.00974356816210933
guide_clearance_mm,0.013577686378562603,0.013577686378562603,0.00670890492964758,0.020264742851404366
body_mass_g,0.012812772553894014,0.012812772553894014,0.005767306934430627,0.019650563202641205
wheel_diameter_mm*rear_balance_pct,-0.01003369047959235,0.01003369047959235,-0.01718434070642309,-0.0033049994210931966
bearing_preload_n,0.009715222749449026,0.009715222749449026,0.002127888462177224,0.01701262565670099
bearing_preload_n*guide_clearance_mm,0.0090060465990347,0.0090060465990347,0.0011025748633327226,0.016361547328105047
rear_balance_pct,-0.008202990838370283,0.008202990838370283,-0.015945952776954708,-0.0006947487878360924
body_mass_g*launch_alignment_deg,0.0077094693686685645,0.0077094693686685645,0.00032703699924104825,0.01498756579206385
body_mass_g*rear_balance_pct,0.0006303016501751912,0.0006303016501751912,-0.007031097023127302,0.008617102023850496
wheel_diameter_mm*guide_clearance_mm,-0.0005654066428160132,0.0005654066428160132,-0.008369460576488175,0.006897978497862588
wheel_diameter_mm*body_mass_g,-0.00035452659558621313,0.00035452659558621313,-0.007920642868346511,0.007221451236179392
bearing_preload_n*rear_balance_pct,-0.000336496295635591,0.000336496295635591,-0.007739859050478604,0.00767888261555735
rear_balance_pct*launch_alignment_deg,0.00027741408959292,0.00027741408959292,-0.008061616952080625,0.008264001142745853
rear_balance_pct*guide_clearance_mm,0.0002475590083297341,0.0002475590083297341,-0.0073630432607628415,0.00787601173213545
launch_alignment_deg,0.00024063810667573904,0.00024063810667573904,-0.008134402371033012,0.007964044391788404
wheel_diameter_mm*launch_alignment_deg,0.00022885214917467422,0.00022885214917467422,-0.008071685394900024,0.00741766831121296
guide_clearance_mm*launch_alignment_deg,-0.0001978794242365467,0.0001978794242365467,-0.007684970942806808,0.0073327467928105215
wheel_diameter_mm*bearing_preload_n,0.00010813750503357866,0.00010813750503357866,-0.00786362044674313,0.007760697102686065
body_mass_g*guide_clearance_mm,5.68036576560349e-05,5.68036576560349e-05,-0.007896754702147873,0.007595108158287871
bearing_preload_n*body_mass_g,4.190356749256274e-05,4.190356749256274e-05,-0.007870836015064131,0.007779603939620674
bearing_preload_n*launch_alignment_deg,-2.1734009147955646e-05,2.1734009147955646e-05,-0.007810034679006168,0.0078179657284333
