coded_wheel_diameter_mm,coded_bearing_preload_n,coded_body_mass_g,coded_rear_balance_pct,coded_guide_clearance_mm,coded_launch_alignment_deg,wheel_diameter_mm,bearing_preload_n,body_mass_g,rear_balance_pct,guide_clearance_mm,launch_alignment_deg,time_s
-1,-1,-1,-1,-1,-1,24.8,0.15,48.5,46.0,0.25,-1.0,1.0955585703162238
-1,-1,-1,-1,-1,1,24.8,0.15,48.5,46.0,0.25,1.0,1.0895623727575234
-1,-1,-1,-1,1,-1,24.8,0.15,48.5,46.0,0.75,-1.0,1.0993070070459297
-1,-1,-1,-1,1,1,24.8,0.15,48.5,46.0,0.75,1.0,1.093613267865724
-1,-1,-1,1,-1,-1,24.8,0.15,48.5,55.0,0.25,-1.0,1.0956133068971012
-1,-1,-1,1,-1,1,24.8,0.15,48.5,55.0,0.25,1.0,1.0891691602155011
-1,-1,-1,1,1,-1,24.8,0.15,48.5,55.0,0.75,-1.0,1.1031155446470955
-1,-1,-1,1,1,1,24.8,0.15,48.5,55.0,0.75,1.0,1.0922333110725555
-1,-1,1,-1,-1,-1,24.8,0.15,53.0,46.0,0.25,-1.0,1.101503997509769
-1,-1,1,-1,-1,1,24.8,0.15,53.0,46.0,0.25,1.0,1.1072499268293352
-1,-1,1,-1,1,-1,24.8,0.15,53.0,46.0,0.75,-1.0,1.1064380684425206
-1,-1,1,-1,1,1,24.8,0.15,53.0,46.0,0.75,1.0,1.111939253064442
-1,-1,1,1,-1,-1,24.8,0.15,53.0,55.0,0.25,-1.0,1.1037292995849504
-1,-1,1,1,-1,1,24.8,0.15,53.0,55.0,0.25,1.0,1.1106153384245288
-1,-1,1,1,1,-1,24.8,0.15,53.0,55.0,0.75,-1.0,1.1063040592675704
-1,-1,1,1,1,1,24.8,0.15,53.0,55.0,0.75,1.0,1.1176676503407712
-1,1,-1,-1,-1,-1,24.8,0.55,48.5,46.0,0.25,-1.0,1.09645753178364
-1,1,-1,-1,-1,1,24.8,0.55,48.5,46.0,0.25,1.0,1.087518416724623
-1,1,-1,-1,1,-1,24.8,0.55,48.5,46.0,0.75,-1.0,1.1206215631797425
-1,1,-1,-1,1,1,24.8,0.55,48.5,46.0,0.75,1.0,1.1135154834179557
-1,1,-1,1,-1,-1,24.8,0.55,48.5,55.0,0.25,-1.0,1.0955912145305797
-1,1,-1,1,-1,1,24.8,0.55,48.5,55.0,0.25,1.0,1.0906418542192513
-1,1,-1,1,1,-1,24.8,0.55,48.5,55.0,0.75,-1.0,1.1194738825723787
-1,1,-1,1,1,1,24.8,0.55,48.5,55.0,0.75,1.0,1.113145935795197
-1,1,1,-1,-1,-1,24.8,0.55,53.0,46.0,0.25,-1.0,1.0992718713571885
-1,1,1,-1,-1,1,24.8,0.55,53.0,46.0,0.25,1.0,1.1086112922401306
-1,1,1,-1,1,-1,24.8,0.55,53.0,46.0,0.75,-1.0,1.125524524571607
-1,1,1,-1,1,1,24.8,0.55,53.0,46.0,0.75,1.0,1.1291380720007334
-1,1,1,1,-1,-1,24.8,0.55,53.0,55.0,0.25,-1.0,1.104186593803543
-1,1,1,1,-1,1,24.8,0.55,53.0,55.0,0.25,1.0,1.1120513248719477
-1,1,1,1,1,-1,24.8,0.55,53.0,55.0,0.75,-1.0,1.1276854930670164
-1,1,1,1,1,1,24.8,0.55,53.0,55.0,0.75,1.0,1.1338984440566522
1,-1,-1,-1,-1,-1,27.2,0.15,48.5,46.0,0.25,-1.0,1.0912528117666567
1,-1,-1,-1,-1,1,27.2,0.15,48.5,46.0,0.25,1.0,1.0802742077294418
1,-1,-1,-1,1,-1,27.2,0.15,48.5,46.0,0.75,-1.0,1.0909658546611318
1,-1,-1,-1,1,1,27.2,0.15,48.5,46.0,0.75,1.0,1.0870397221954402
1,-1,-1,1,-1,-1,27.2,0.15,48.5,55.0,0.25,-1.0,1.0718539043399864
1,-1,-1,1,-1,1,27.2,0.15,48.5,55.0,0.25,1.0,1.0645293883651505
1,-1,-1,1,1,-1,27.2,0.15,48.5,55.0,0.75,-1.0,1.075314771715758
1,-1,-1,1,1,1,27.2,0.15,48.5,55.0,0.75,1.0,1.06903523029111
1,-1,1,-1,-1,-1,27.2,0.15,53.0,46.0,0.25,-1.0,1.0936457216002402
1,-1,1,-1,-1,1,27.2,0.15,53.0,46.0,0.25,1.0,1.1010166466415423
1,-1,1,-1,1,-1,27.2,0.15,53.0,46.0,0.75,-1.0,1.1004808725760669
1,-1,1,-1,1,1,27.2,0.15,53.0,46.0,0.75,1.0,1.1036890391134315
1,-1,1,1,-1,-1,27.2,0.15,53.0,55.0,0.25,-1.0,1.0731603886990815
1,-1,1,1,-1,1,27.2,0.15,53.0,55.0,0.25,1.0,1.085297223860287
1,-1,1,1,1,-1,27.2,0.15,53.0,55.0,0.75,-1.0,1.0802622277768723
1,-1,1,1,1,1,27.2,0.15,53.0,55.0,0.75,1.0,1.0897726219333441
1,1,-1,-1,-1,-1,27.2,0.55,48.5,46.0,0.25,-1.0,1.0892459154388963
1,1,-1,-1,-1,1,27.2,0.55,48.5,46.0,0.25,1.0,1.0854439600732593
1,1,-1,-1,1,-1,27.2,0.55,48.5,46.0,0.75,-1.0,1.1122544085492907
1,1,-1,-1,1,1,27.2,0.55,48.5,46.0,0.75,1.0,1.1038602317408661
