simulacion,tiempo_s,velocidad_max_mps,velocidad_max_kmh,masa_kg,cda_m2,crr,empuje_n,exito
2026,1.0845,21.38,77.0,0.0529,0.003406,0.01407,9.85,1
2039,1.2945,17.83,64.2,0.05351,0.003089,0.01306,9.47,1
2052,1.041,22.12,79.6,0.05288,0.003125,0.01696,10.71,1
2065,0.9395,24.57,88.5,0.05144,0.003061,0.0205,10.62,1
2078,1.1125,21.05,75.8,0.05266,0.003168,0.01557,10.2,1
2091,1.025,22.52,81.1,0.05188,0.003305,0.02246,10.5,1
2104,1.153,20.3,73.1,0.05229,0.003358,0.01995,8.56,1
2117,1.151,20.03,72.1,0.05241,0.00346,0.02282,9.98,1
2130,1.24,18.85,67.8,0.05213,0.003412,0.02317,10.06,1
2143,1.2975,17.82,64.2,0.05192,0.003198,0.01824,8.79,1
2156,1.0055,23.34,84.0,0.05128,0.00299,0.02125,11.58,1
2169,1.417,16.39,59.0,0.0512,0.003551,0.02023,10.14,1
2182,1.0955,21.41,77.1,0.05173,0.003608,0.01908,10.1,1
2195,1.1,21.2,76.3,0.05176,0.003089,0.02096,10.46,1
2208,1.123,20.74,74.7,0.05371,0.003601,0.02329,10.11,1
2221,1.18,19.63,70.7,0.05198,0.0029,0.02205,8.14,1
2234,1.1395,19.91,71.7,0.0525,0.002684,0.02291,10.68,1
2247,1.292,17.91,64.5,0.05189,0.003178,0.01827,8.37,1
2260,1.201,19.68,70.8,0.05185,0.003782,0.01716,8.07,1
2273,1.1915,19.41,69.9,0.05367,0.003184,0.0189,8.95,1
2286,1.118,20.69,74.5,0.05157,0.003295,0.02267,9.91,1
2299,0.8845,26.22,94.4,0.05237,0.003328,0.02024,13.48,1
2312,1.1575,19.75,71.1,0.05159,0.002464,0.0213,8.96,1
2325,1.109,20.9,75.3,0.05096,0.003169,0.02368,9.71,1
2338,1.234,18.76,67.5,0.05068,0.003164,0.02229,8.54,1
2351,0.9905,23.39,84.2,0.05086,0.003247,0.01863,10.3,1
2364,1.212,19.66,70.8,0.05183,0.003397,0.02485,10.13,1
2377,1.198,19.12,68.8,0.05108,0.003252,0.02313,10.63,1
2390,1.136,20.34,73.2,0.05161,0.003209,0.01706,9.1,1
2403,1.0975,21.06,75.8,0.05306,0.00335,0.02157,9.79,1
2416,0.979,23.7,85.3,0.05246,0.003007,0.02189,12.56,1
2429,1.124,20.61,74.2,0.05176,0.003281,0.02045,9.02,1
2442,1.1435,20.26,72.9,0.05173,0.003305,0.01969,9.46,1
2455,1.213,19.15,68.9,0.05057,0.003244,0.01916,9.6,1
2468,1.0505,21.98,79.1,0.05179,0.003486,0.01954,10.55,1
2481,1.1965,19.37,69.7,0.05283,0.002916,0.02138,8.02,1
2494,1.294,17.85,64.3,0.0518,0.003042,0.0186,8.24,1
2507,1.0875,20.92,75.3,0.05106,0.003081,0.0178,11.13,1
2520,1.144,20.21,72.8,0.05093,0.003129,0.01992,8.74,1
2533,1.1425,20.21,72.8,0.05133,0.002827,0.01766,8.48,1
2546,1.2455,18.51,66.6,0.05149,0.003421,0.0173,9.46,1
2559,1.2315,18.91,68.1,0.05289,0.003175,0.01859,7.78,1
2572,1.0085,23.03,82.9,0.05323,0.003295,0.01845,9.75,1
2585,0.9945,23.38,84.2,0.0538,0.003547,0.018,11.53,1
2598,1.0065,22.85,82.2,0.0518,0.002828,0.01993,11.15,1
2611,1.302,17.75,63.9,0.05127,0.003305,0.01735,9.0,1
2624,0.973,23.81,85.7,0.05202,0.003098,0.01896,10.34,1
2637,1.1455,20.6,74.2,0.0519,0.003716,0.01814,10.24,1
2650,1.025,22.71,81.7,0.0517,0.003019,0.02059,10.65,1
2663,0.945,24.52,88.3,0.05152,0.003123,0.02063,10.92,1
2676,1.0365,22.34,80.4,0.05199,0.00349,0.01617,10.11,1
2689,1.18,19.55,70.4,0.05248,0.003228,0.02087,10.19,1
2702,1.0895,21.25,76.5,0.05255,0.003448,0.01231,10.12,1
2715,1.059,22.13,79.7,0.05178,0.003039,0.02263,8.6,1
2728,1.1805,19.72,71.0,0.05287,0.003257,0.01719,8.19,1
2741,1.084,21.16,76.2,0.05231,0.003124,0.02096,10.15,1
2754,1.2515,19.01,68.4,0.05057,0.002992,0.02144,9.56,1
2767,0.975,23.71,85.4,0.05145,0.003213,0.0208,10.34,1
2780,1.0705,22.17,79.8,0.05121,0.003097,0.0188,11.27,1
2793,1.084,21.5,77.4,0.05329,0.003325,0.01755,10.42,1
