nose_radius_ratio,sidepod_taper,wing_attack_deg,drag_obj,stability_obj,manufacturing_obj,score
0.05,0.1,-2,0.24640777777777775,0.17400000000000002,0.1090909090909091,0.20770830303030302
0.05,0.1,0,0.24563,0.154,0.1090909090909091,0.20224163636363635
0.05,0.1,2,0.24640777777777775,0.158,0.1090909090909091,0.20370830303030302
0.05,0.1,4,0.2487411111111111,0.17800000000000002,0.1090909090909091,0.21010830303030303
0.05,0.1,6,0.25262999999999997,0.198,0.13242424242424244,0.22094163636363634
0.05,0.3,-2,0.24280777777777776,0.166,0.1090909090909091,0.20354830303030302
0.05,0.3,0,0.24203,0.146,0.1090909090909091,0.19808163636363635
0.05,0.3,2,0.24280777777777776,0.15,0.1090909090909091,0.19954830303030302
0.05,0.3,4,0.24514111111111112,0.17,0.1090909090909091,0.20594830303030304
0.05,0.3,6,0.24903,0.19,0.13242424242424244,0.21678163636363634
0.05,0.5,-2,0.23920777777777774,0.158,0.1090909090909091,0.199388303030303
0.05,0.5,0,0.23842999999999998,0.13799999999999998,0.1090909090909091,0.19392163636363635
0.05,0.5,2,0.23920777777777774,0.142,0.1090909090909091,0.195388303030303
0.05,0.5,4,0.2415411111111111,0.162,0.1090909090909091,0.201788303030303
0.05,0.5,6,0.24542999999999998,0.182,0.13242424242424244,0.21262163636363635
0.05,0.7,-2,0.23560777777777775,0.15000000000000002,0.1090909090909091,0.195228303030303
0.05,0.7,0,0.23482999999999998,0.13,0.1090909090909091,0.18976163636363635
0.05,0.7,2,0.23560777777777775,0.134,0.1090909090909091,0.191228303030303
0.05,0.7,4,0.2379411111111111,0.15400000000000003,0.1090909090909091,0.19762830303030302
0.05,0.7,6,0.24183,0.17400000000000002,0.13242424242424244,0.20846163636363635
0.05,0.9,-2,0.23200777777777776,0.14200000000000002,0.1090909090909091,0.191068303030303
0.05,0.9,0,0.23123,0.122,0.1090909090909091,0.18560163636363636
0.05,0.9,2,0.23200777777777776,0.126,0.1090909090909091,0.187068303030303
0.05,0.9,4,0.2343411111111111,0.14600000000000002,0.1090909090909091,0.19346830303030302
0.05,0.9,6,0.23823,0.166,0.13242424242424244,0.20430163636363635
0.07,0.1,-2,0.24472777777777777,0.17400000000000002,0.1,0.20533666666666667
0.07,0.1,0,0.24395,0.154,0.1,0.19987
0.07,0.1,2,0.24472777777777777,0.158,0.1,0.20133666666666666
0.07,0.1,4,0.24706111111111112,0.17800000000000002,0.1,0.20773666666666668
0.07,0.1,6,0.25094999999999995,0.198,0.12333333333333334,0.21856999999999996
0.07,0.3,-2,0.24112777777777777,0.166,0.1,0.20117666666666667
0.07,0.3,0,0.24035,0.146,0.1,0.19571
0.07,0.3,2,0.24112777777777777,0.15,0.1,0.19717666666666667
0.07,0.3,4,0.24346111111111113,0.17,0.1,0.20357666666666668
0.07,0.3,6,0.24735000000000001,0.19,0.12333333333333334,0.21441000000000002
0.07,0.5,-2,0.23752777777777775,0.158,0.1,0.19701666666666667
0.07,0.5,0,0.23675,0.13799999999999998,0.1,0.19155
0.07,0.5,2,0.23752777777777775,0.142,0.1,0.19301666666666667
