longitud_mm,anchura_mm,radio_morro,conicidad,angulo_aleron,altura_mm,cd,area_m2,cda_m2,estabilidad,fabricabilidad,score
245,55,0.2,0.7,0,25,0.2296,0.001375,0.000316,0.6,0.7,0.33433
245,55,0.2,0.9,0,25,0.2176,0.001375,0.000299,0.608,0.62,0.33443
265,55,0.2,0.7,0,25,0.2251,0.001375,0.00031,0.622,0.6,0.34011
265,55,0.2,0.9,0,25,0.2131,0.001375,0.000293,0.63,0.52,0.34021
245,55,0.2,0.7,1,25,0.2466,0.001375,0.000339,0.61,0.7,0.34585
245,55,0.2,0.9,1,25,0.2346,0.001375,0.000323,0.618,0.62,0.34595
265,55,0.2,0.7,1,25,0.2421,0.001375,0.000333,0.632,0.6,0.35163
265,55,0.2,0.9,1,25,0.2301,0.001375,0.000316,0.64,0.52,0.35173
265,55,0.15,0.9,0,25,0.2091,0.001375,0.000288,0.63,0.37,0.35941
245,65,0.2,0.9,0,25,0.2176,0.001625,0.000354,0.635,0.62,0.36039
245,55,0.2,0.7,2,25,0.2676,0.001375,0.000368,0.62,0.7,0.36068
245,55,0.2,0.9,2,25,0.2556,0.001375,0.000351,0.628,0.62,0.36078
245,65,0.2,0.7,0,25,0.2296,0.001625,0.000373,0.627,0.7,0.36209
265,65,0.2,0.9,0,25,0.2131,0.001625,0.000346,0.657,0.52,0.36551
265,55,0.2,0.7,2,25,0.2631,0.001375,0.000362,0.642,0.6,0.36646
265,55,0.2,0.9,2,25,0.2511,0.001375,0.000345,0.65,0.52,0.36656
265,65,0.2,0.7,0,25,0.2251,0.001625,0.000366,0.649,0.6,0.36721
245,55,0.2,0.9,0,30,0.2326,0.00165,0.000384,0.608,0.72,0.37017
265,55,0.15,0.9,1,25,0.2261,0.001375,0.000311,0.64,0.37,0.37093
245,55,0.2,0.7,0,30,0.2446,0.00165,0.000404,0.6,0.8,0.37205
245,65,0.2,0.9,1,25,0.2346,0.001625,0.000381,0.645,0.62,0.37447
245,65,0.2,0.7,1,25,0.2466,0.001625,0.000401,0.637,0.7,0.37617
265,65,0.2,0.9,1,25,0.2301,0.001625,0.000374,0.667,0.52,0.37958
265,65,0.2,0.7,1,25,0.2421,0.001625,0.000393,0.659,0.6,0.38128
265,65,0.15,0.9,0,25,0.2091,0.001625,0.00034,0.657,0.37,0.38411
245,55,0.2,0.9,1,30,0.2496,0.00165,0.000412,0.618,0.72,0.3845
245,75,0.2,0.9,0,25,0.2176,0.001875,0.000408,0.662,0.62,0.38636
245,55,0.2,0.7,1,30,0.2616,0.00165,0.000432,0.61,0.8,0.38638
245,75,0.2,0.7,0,25,0.2296,0.001875,0.00043,0.654,0.7,0.38986
265,75,0.2,0.9,0,25,0.2131,0.001875,0.0004,0.684,0.52,0.39081
