longitud_mm,anchura_mm,radio_morro,conicidad,angulo_aleron,altura_mm,cd,area_m2,cda_m2,estabilidad,fabricabilidad,score
245,55,0.2,0.7,0,25,0.2296,0.001375,0.000316,0.6,0.7,0.33433
245,55,0.2,0.9,0,25,0.2176,0.001375,0.000299,0.608,0.62,0.33443
245,55,0.25,0.7,0,25,0.2336,0.001375,0.000321,0.6,0.7,0.33763
245,55,0.25,0.9,0,25,0.2216,0.001375,0.000305,0.608,0.62,0.33773
265,55,0.2,0.7,0,25,0.2251,0.001375,0.00031,0.622,0.6,0.34011
265,55,0.2,0.9,0,25,0.2131,0.001375,0.000293,0.63,0.52,0.34021
245,55,0.2,0.6,0,25,0.2356,0.001375,0.000324,0.596,0.7,0.34028
245,55,0.2,0.8,0,25,0.2236,0.001375,0.000307,0.604,0.62,0.34038
245,55,0.3,0.7,0,25,0.2376,0.001375,0.000327,0.6,0.7,0.34093
245,55,0.3,0.9,0,25,0.2256,0.001375,0.00031,0.608,0.62,0.34103
265,55,0.25,0.7,0,25,0.2291,0.001375,0.000315,0.622,0.6,0.34341
265,55,0.25,0.9,0,25,0.2171,0.001375,0.000299,0.63,0.52,0.34351
225,55,0.2,0.7,0,25,0.234,0.001375,0.000322,0.578,0.7,0.34355
245,55,0.25,0.6,0,25,0.2396,0.001375,0.000329,0.596,0.7,0.34358
225,55,0.2,0.9,0,25,0.222,0.001375,0.000305,0.586,0.62,0.34365
245,55,0.25,0.8,0,25,0.2276,0.001375,0.000313,0.604,0.62,0.34368
245,55,0.35,0.7,0,25,0.2416,0.001375,0.000332,0.6,0.7,0.34423
245,55,0.35,0.9,0,25,0.2296,0.001375,0.000316,0.608,0.62,0.34433
245,55,0.2,0.7,1,25,0.2466,0.001375,0.000339,0.61,0.7,0.34585
245,55,0.2,0.9,1,25,0.2346,0.001375,0.000323,0.618,0.62,0.34595
265,55,0.2,0.6,0,25,0.2311,0.001375,0.000318,0.618,0.6,0.34606
265,55,0.2,0.8,0,25,0.2191,0.001375,0.000301,0.626,0.52,0.34616
245,55,0.2,0.5,0,25,0.2416,0.001375,0.000332,0.592,0.7,0.34623
265,55,0.3,0.7,0,25,0.2331,0.001375,0.000321,0.622,0.6,0.34671
265,55,0.3,0.9,0,25,0.2211,0.001375,0.000304,0.63,0.52,0.34681
225,55,0.25,0.7,0,25,0.238,0.001375,0.000327,0.578,0.7,0.34685
245,55,0.3,0.6,0,25,0.2436,0.001375,0.000335,0.596,0.7,0.34688
225,55,0.25,0.9,0,25,0.226,0.001375,0.000311,0.586,0.62,0.34695
245,55,0.3,0.8,0,25,0.2316,0.001375,0.000318,0.604,0.62,0.34698
245,55,0.4,0.7,0,25,0.2456,0.001375,0.000338,0.6,0.7,0.34753
245,55,0.4,0.9,0,25,0.2336,0.001375,0.000321,0.608,0.62,0.34763
245,55,0.25,0.7,1,25,0.2506,0.001375,0.000345,0.61,0.7,0.34915
245,55,0.25,0.9,1,25,0.2386,0.001375,0.000328,0.618,0.62,0.34925
265,55,0.25,0.6,0,25,0.2351,0.001375,0.000323,0.618,0.6,0.34936
265,55,0.25,0.8,0,25,0.2231,0.001375,0.000307,0.626,0.52,0.34946
225,55,0.2,0.6,0,25,0.24,0.001375,0.00033,0.574,0.7,0.3495
245,55,0.25,0.5,0,25,0.2456,0.001375,0.000338,0.592,0.7,0.34953
225,55,0.2,0.8,0,25,0.228,0.001375,0.000313,0.582,0.62,0.3496
265,55,0.35,0.7,0,25,0.2371,0.001375,0.000326,0.622,0.6,0.35001
265,55,0.35,0.9,0,25,0.2251,0.001375,0.00031,0.63,0.52,0.35011
225,55,0.3,0.7,0,25,0.242,0.001375,0.000333,0.578,0.7,0.35015
245,55,0.35,0.6,0,25,0.2476,0.001375,0.00034,0.596,0.7,0.35018
225,55,0.3,0.9,0,25,0.23,0.001375,0.000316,0.586,0.62,0.35025
245,55,0.35,0.8,0,25,0.2356,0.001375,0.000324,0.604,0.62,0.35028
245,55,0.45,0.7,0,25,0.2496,0.001375,0.000343,0.6,0.7,0.35083
245,55,0.45,0.9,0,25,0.2376,0.001375,0.000327,0.608,0.62,0.35093
265,55,0.2,0.7,1,25,0.2421,0.001375,0.000333,0.632,0.6,0.35163
265,55,0.2,0.9,1,25,0.2301,0.001375,0.000316,0.64,0.52,0.35173
245,55,0.2,0.6,1,25,0.2526,0.001375,0.000347,0.606,0.7,0.3518
245,55,0.2,0.8,1,25,0.2406,0.001375,0.000331,0.614,0.62,0.3519
265,55,0.2,0.5,0,25,0.2371,0.001375,0.000326,0.614,0.6,0.35201
245,55,0.2,0.4,0,25,0.2476,0.001375,0.00034,0.588,0.7,0.35218
245,55,0.3,0.7,1,25,0.2546,0.001375,0.00035,0.61,0.7,0.35245
245,55,0.3,0.9,1,25,0.2426,0.001375,0.000334,0.618,0.62,0.35255
265,55,0.3,0.6,0,25,0.2391,0.001375,0.000329,0.618,0.6,0.35266
265,55,0.3,0.8,0,25,0.2271,0.001375,0.000312,0.626,0.52,0.35276
205,55,0.2,0.7,0,25,0.2384,0.001375,0.000328,0.556,0.7,0.35277
225,55,0.25,0.6,0,25,0.244,0.001375,0.000335,0.574,0.7,0.3528
245,55,0.3,0.5,0,25,0.2496,0.001375,0.000343,0.592,0.7,0.35283
205,55,0.2,0.9,0,25,0.2264,0.001375,0.000311,0.564,0.62,0.35287
225,55,0.25,0.8,0,25,0.232,0.001375,0.000319,0.582,0.62,0.3529
265,55,0.4,0.7,0,25,0.2411,0.001375,0.000332,0.622,0.6,0.35331
265,55,0.4,0.9,0,25,0.2291,0.001375,0.000315,0.63,0.52,0.35341
225,55,0.35,0.7,0,25,0.246,0.001375,0.000338,0.578,0.7,0.35345
245,55,0.4,0.6,0,25,0.2516,0.001375,0.000346,0.596,0.7,0.35348
245,55,0.15,0.7,0,25,0.2256,0.001375,0.00031,0.6,0.55,0.35353
225,55,0.35,0.9,0,25,0.234,0.001375,0.000322,0.586,0.62,0.35355
245,55,0.4,0.8,0,25,0.2396,0.001375,0.000329,0.604,0.62,0.35358
