diametro_rueda,preload_rodamiento,masa,alineacion,time_s
-1,-1,-1,-1,1.0921656199492142
-1,-1,-1,1,1.0925821668427902
-1,-1,1,-1,1.117701862139913
-1,-1,1,1,1.1147245020170016
-1,1,-1,-1,1.1039804331478795
-1,1,-1,1,1.1046335783178252
-1,1,1,-1,1.1283972735642152
-1,1,1,1,1.1282836316980798
1,-1,-1,-1,1.0809754935394136
1,-1,-1,1,1.0796701914625617
1,-1,1,-1,1.0878413448538138
1,-1,1,1,1.0890067734163043
1,1,-1,-1,1.0927346902593862
1,1,-1,1,1.0918788641626695
1,1,1,-1,1.1024760414609271
1,1,1,1,1.1006187780507224
