distancia_ejes_mm,holgura_guia_mm,masa_cuerpo_g,cumple,num_fallos
190.2796,0.3721,51.365,1,0
189.7857,0.4578,51.3683,1,0
189.8236,0.3701,51.7911,1,0
189.9008,0.5293,50.9353,1,0
190.2956,0.4216,50.8083,1,0
190.0715,0.3336,51.045,1,0
190.0134,0.4215,51.0122,1,0
189.9496,0.5179,51.352,1,0
189.8611,0.5582,51.8816,1,0
190.1423,0.5252,51.9122,1,0
190.1351,0.5123,51.4035,1,0
189.8411,0.4306,50.2503,1,0
190.2085,0.4915,50.6763,1,0
189.9737,0.4842,50.6775,1,0
189.8386,0.4864,50.9341,1,0
190.1946,0.4548,50.8747,1,0
190.0947,0.5052,51.9551,1,0
189.844,0.4314,50.9445,1,0
189.8191,0.3764,51.6112,1,0
189.874,0.584,51.0269,1,0
189.7523,0.6055,50.686,1,0
189.7887,0.393,51.1358,1,0
190.2676,0.3652,51.4642,1,0
189.799,0.3001,51.3913,1,0
189.9951,0.4115,51.5934,1,0
189.742,0.4059,51.5453,1,0
189.7971,0.4352,50.9124,1,0
190.041,0.4392,51.7401,1,0
190.0938,0.4059,51.1374,1,0
190.1319,0.4838,51.1261,1,0
189.8883,0.4784,50.689,1,0
190.2246,0.5663,50.756,1,0
189.7385,0.4406,50.9864,1,0
189.7932,0.4485,51.9426,1,0
190.0078,0.5425,50.2931,1,0
189.9299,0.4581,51.3958,1,0
190.0738,0.4126,51.7597,1,0
190.0126,0.5047,51.9021,1,0
190.0604,0.4991,51.3867,1,0
189.9006,0.4128,51.9557,1,0
190.1119,0.5984,51.3525,1,0
190.0062,0.4344,51.5651,1,0
190.0185,0.5302,50.5788,1,0
190.011,0.4183,50.9833,1,0
190.4923,0.4405,51.2439,1,0
190.1769,0.3913,51.4508,1,0
190.1271,0.506,50.4986,1,0
190.0129,0.3451,51.0851,1,0
189.8563,0.4583,50.2507,1,0
189.821,0.4228,51.6015,1,0
189.7147,0.5955,51.1282,1,0
190.1771,0.5996,50.5971,1,0
189.9665,0.3983,51.0956,1,0
189.582,0.461,50.5991,1,0
189.7787,0.4246,51.2806,1,0
190.1698,0.3493,50.8725,1,0
190.0544,0.4272,51.4702,1,0
189.7882,0.5389,50.9899,1,0
189.8286,0.5225,51.5976,1,0
189.9691,0.4506,51.9206,1,0
189.839,0.4641,51.4339,1,0
189.6946,0.402,51.4351,1,0
190.0694,0.4712,50.2665,1,0
190.0863,0.5959,51.6129,1,0
189.8436,0.4632,51.455,1,0
190.0631,0.4787,50.8443,1,0
189.9105,0.3346,51.0023,1,0
189.9722,0.584,50.8306,1,0
189.8144,0.4534,51.5026,1,0
190.1237,0.4291,51.2433,1,0
189.8152,0.4935,51.4425,1,0
189.997,0.3805,50.8568,1,0
189.8852,0.4495,51.5948,1,0
189.8999,0.4732,51.3221,1,0
189.9309,0.4749,51.4065,1,0
190.1868,0.4246,50.2361,1,0
189.7821,0.3553,51.4488,1,0
189.8434,0.3647,50.4828,1,0
189.925,0.4924,51.6464,1,0
190.2428,0.407,51.4851,1,0
189.9823,0.4258,51.0193,1,0
189.9583,0.4525,51.2841,1,0
190.067,0.3536,50.289,1,0
190.0893,0.3693,51.5775,1,0
189.9652,0.4949,50.9471,1,0
190.2583,0.5151,50.8235,1,0
189.9866,0.3866,51.6725,1,0
189.7563,0.4138,50.5355,1,0
190.1688,0.4112,51.3773,1,0
190.0896,0.3908,50.8219,1,0
190.2023,0.4262,51.1222,1,0
189.8783,0.4969,51.036,1,0
189.8223,0.4568,51.9477,1,0
190.0443,0.5279,51.5357,1,0
190.1183,0.4621,51.9745,1,0
189.8562,0.5254,50.4345,1,0
190.1077,0.4215,51.1106,1,0
189.8085,0.5309,51.2887,1,0
189.9512,0.4195,51.5257,1,0
189.9059,0.5319,50.9122,1,0
190.1116,0.3541,51.9616,1,0
189.9185,0.3904,50.8183,1,0
189.8014,0.5218,52.0418,1,0
190.0916,0.6296,51.2884,1,0
189.9421,0.4079,51.5921,1,0
190.0843,0.4295,51.3265,1,0
189.9587,0.4521,50.8271,1,0
190.0529,0.5056,51.809,1,0
189.9723,0.4529,51.2554,1,0
189.7749,0.4666,51.5625,1,0
190.061,0.5114,51.7106,1,0
190.1393,0.3893,51.0666,1,0
190.1144,0.4533,51.9917,1,0
190.0309,0.4763,51.083,1,0
189.8542,0.4052,51.2538,1,0
190.0678,0.4993,51.0491,1,0
189.8094,0.5739,51.3984,1,0
190.0108,0.3895,51.3299,1,0
189.9427,0.4055,51.9752,1,0
190.3714,0.4166,51.9462,1,0
189.952,0.2927,51.0337,1,0
190.0117,0.4454,51.8509,1,0
190.0313,0.538,51.0242,1,0
189.7853,0.4745,50.6771,1,0
190.2187,0.4343,50.7905,1,0
189.9492,0.3296,51.2692,1,0
190.2272,0.3515,51.3927,1,0
190.0596,0.4839,51.2433,1,0
189.999,0.4958,52.1804,1,0
189.9694,0.4879,51.224,1,0
190.0684,0.4861,51.2815,1,0
190.0411,0.401,51.6146,1,0
190.1338,0.4033,51.1017,1,0
190.1819,0.409,50.3836,1,0
189.9075,0.4219,51.5813,1,0
190.2379,0.3887,51.0749,1,0
189.9035,0.4666,51.1548,1,0
189.7779,0.4509,50.0624,1,0
190.1825,0.5029,51.3914,1,0
189.8439,0.4964,51.5234,1,0
190.199,0.5158,51.6335,1,0
190.0357,0.4845,51.6422,1,0
189.9055,0.3888,51.1441,1,0
189.9729,0.4638,52.0318,1,0
189.6899,0.4677,50.1721,1,0
189.9191,0.4266,51.9292,1,0
189.9996,0.3912,51.6337,1,0
189.9127,0.3589,50.4356,1,0
189.9245,0.3471,50.6429,1,0
190.0815,0.4365,51.1811,1,0
189.973,0.4425,50.6858,1,0
190.132,0.3341,52.2576,1,0
190.2089,0.2938,52.2747,1,0
190.1986,0.4527,51.3175,1,0
190.0862,0.5291,49.8636,0,1
189.8255,0.4318,50.0823,1,0
190.0801,0.514,51.3198,1,0
190.1311,0.3779,51.4182,1,0
189.8788,0.4538,50.9378,1,0
190.1287,0.4933,51.144,1,0
190.2094,0.4902,51.2652,1,0
190.0313,0.4006,51.2815,1,0
189.8662,0.3993,51.1177,1,0
189.853,0.362,51.6688,1,0
190.0668,0.5151,51.0079,1,0
190.0851,0.4547,51.4769,1,0
190.3513,0.2774,51.2808,1,0
190.0672,0.4901,51.0784,1,0
189.9927,0.43,50.7025,1,0
189.9264,0.3903,52.1438,1,0
189.8752,0.5137,52.0521,1,0
189.9347,0.4189,50.7309,1,0
189.7101,0.4746,51.0993,1,0
189.8981,0.3897,50.6159,1,0
189.9925,0.4214,50.5942,1,0
189.7826,0.5031,51.6755,1,0
190.0967,0.4748,50.6636,1,0
190.1217,0.3805,51.8797,1,0
189.927,0.5983,51.6859,1,0
190.1889,0.4514,51.3597,1,0
190.0026,0.5183,51.0398,1,0
189.7592,0.456,51.5742,1,0
189.9206,0.5251,50.7291,1,0
189.9974,0.5199,50.7658,1,0
189.8756,0.4489,50.3054,1,0
189.9228,0.4284,50.4613,1,0
190.0474,0.4083,51.3352,1,0
189.9651,0.3305,51.6251,1,0
190.0903,0.3563,50.9237,1,0
189.9409,0.4994,50.4576,1,0
189.7202,0.4225,50.3498,1,0
190.195,0.4885,50.5421,1,0
189.8848,0.547,51.3613,1,0
189.9914,0.3523,51.4321,1,0
190.1177,0.6017,50.3027,1,0
189.8938,0.4091,51.6168,1,0
190.0164,0.4737,51.7407,1,0
190.0913,0.5192,51.8642,1,0
189.9918,0.4145,51.1203,1,0
190.4188,0.4873,51.334,1,0
190.2884,0.5287,50.7959,1,0
189.9673,0.5284,50.6166,1,0
190.0738,0.4193,50.6894,1,0
189.8415,0.4367,51.28,1,0
189.7141,0.3571,50.7515,1,0
189.7882,0.4121,51.485,1,0
190.0244,0.4061,51.2108,1,0
190.1762,0.5417,51.1081,1,0
189.9131,0.4651,51.5749,1,0
190.0711,0.4065,51.0326,1,0
190.1474,0.5441,51.453,1,0
190.1098,0.3369,51.0696,1,0
190.0249,0.4761,52.0542,1,0
189.842,0.4402,50.9169,1,0
189.8892,0.4701,50.5293,1,0
190.1264,0.5641,51.5947,1,0
